VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,TotalSalesQuantity,FreightCost
516,BANFI PRODUCTS CORP,18027,Banfi Rosa Regale,9.08,750.0,15.99,6771,61480.68,48138.26,96735.56,701.95,6304.0,8510.41
3960,DIAGEO NORTH AMERICA INC,8515,Baileys Chocolate Cherry,14.61,750.0,19.99,4207,61464.27,75421.28,102789.77,3959.43,5023.0,257032.07
3960,DIAGEO NORTH AMERICA INC,3107,Don Julio 70th Anniversary,47.47,750.0,65.99,1292,61331.24,64366.36,79175.14,935.33,1186.0,257032.07
3924,HEAVEN HILL DISTILLERIES,3996,Deep Eddy Peach Vodka,13.73,750.0,17.99,4466,61318.18,31153.13,46766.49,2246.13,2851.0,14069.87
4425,MARTIGNETTI COMPANIES,19870,Yellow Tail Sangria,5.89,1500.0,9.99,10405,61285.45,46711.72,98812.56,2278.19,10180.0,144929.24
10754,PERFECTA WINES,38133,Il Bastardo Sangiovese Tosc,3.92,750.0,6.99,15618,61222.56,46750.38,113491.2,1739.9,15580.0,28720.52
9552,M S WALKER INC,46934,Silver Palm Nth Cst Cab Svgn,10.31,750.0,17.99,5927,61107.37,39611.91,90401.94,610.54,5470.0,55551.82
8673,STE MICHELLE WINE ESTATES,6319,Santa Cristina Toscana,6.72,750.0,11.99,9091,61091.52,44919.97,101738.98,994.27,8914.0,15919.7
3960,DIAGEO NORTH AMERICA INC,2433,Crown Royal X R Extra Rare,91.9,750.0,131.99,664,61021.6,74512.29,82875.65,501.14,635.0,257032.07
480,BACARDI USA INC,4320,D'Usse VSOP Cognac,36.02,750.0,52.99,1694,61017.88,62503.55,83409.37,1311.08,1663.0,89286.27
8112,MOET HENNESSY USA INC,5706,Gr Marnier Raspberry Peach,20.6,750.0,28.99,2955,60873.0,76398.8,98547.38,2571.94,3262.0,48347.26
7245,PROXIMO SPIRITS INC.,5810,Cuervo Watermelon Margaritas,10.6,1750.0,13.99,5742,60865.2,58634.4,85808.85,10688.04,5815.0,38994.78
1392,CONSTELLATION BRANDS INC,8155,Black Velvet Plastic,3.28,375.0,4.49,18542,60817.76,54560.1,93900.98,7246.34,18452.0,79528.99
8892,TRINCHERO FAMILY ESTATES,12775,Joel Gott Svgn Bl,6.8,750.0,10.99,8930,60724.0,34812.66,91461.57,977.26,8743.0,11595.97
9815,WINE GROUP INC,6590,Almaden B/B Wh Znfdl Cal,9.8,5000.0,16.99,6193,60691.4,63968.23,96892.04,4647.0,6196.0,27100.41
1392,CONSTELLATION BRANDS INC,2690,Black Velvet Reserve,7.35,750.0,11.99,8256,60681.6,60015.6,83146.91,6390.47,8109.0,79528.99
8892,TRINCHERO FAMILY ESTATES,6256,Sutter Home Chard,5.2,1500.0,9.99,11659,60626.8,50814.9,111971.07,2629.06,11737.0,11595.97
3924,HEAVEN HILL DISTILLERIES,5146,Pama Pomegranate Liqueur,14.17,750.0,19.99,4276,60590.92,60376.1,79845.74,3331.07,4226.0,14069.87
3960,DIAGEO NORTH AMERICA INC,5438,Emmets Irish Cream,7.51,750.0,9.99,8067,60583.17,57322.62,81078.84,6395.91,8116.0,257032.07
9815,WINE GROUP INC,37904,Trapiche Broquel Mndz Malbec,6.45,750.0,12.99,9367,60417.15,50851.48,106683.08,1046.51,9392.0,27100.41
4425,MARTIGNETTI COMPANIES,35375,Hess Allomi Cab Svgn,19.73,750.0,31.99,3056,60294.88,52817.02,88957.37,317.9,2863.0,144929.24
8112,MOET HENNESSY USA INC,26285,Moet & Chandon Imperial,45.45,1500.0,79.99,1326,60266.7,81108.05,115389.38,347.46,1562.0,48347.26
4425,MARTIGNETTI COMPANIES,25994,Rodney Strong Merlot Sonoma,11.72,750.0,16.99,5139,60229.08,34631.25,67047.42,461.95,4150.0,144929.24
1392,CONSTELLATION BRANDS INC,7159,Ruffino Chianti,4.72,750.0,6.99,12751,60184.72,37614.36,93696.16,1416.35,12684.0,79528.99
2561,EDRINGTON AMERICAS,2945,The Macallan Rare Cask,213.17,750.0,299.99,282,60113.94,54248.19,64147.86,168.86,214.0,9654.5
3960,DIAGEO NORTH AMERICA INC,8893,Yukon Jack,12.68,750.0,16.99,4739,60090.52,68452.71,80838.42,3753.3,4758.0,257032.07
7239,REMY COINTREAU USA INC,4898,Mount Gay Extra Old Rum,29.84,750.0,39.99,2013,60067.92,38524.51,54170.65,1052.64,1335.0,16978.67
12546,JIM BEAM BRANDS COMPANY,3945,Sauza Conmemorativo,13.84,750.0,17.99,4335,59996.4,51829.19,76817.3,3365.69,4270.0,123880.97
17035,PERNOD RICARD USA,3731,Absolut Apeach,13.38,750.0,16.99,4478,59915.64,59550.23,77440.03,3466.42,4397.0,123780.22
8004,SAZERAC CO INC,8970,Ice Box Manhattan,7.99,1750.0,9.99,7481,59773.19,37025.74,80009.4,13706.67,7460.0,50293.62
12546,JIM BEAM BRANDS COMPANY,1258,Jim Beam Black,17.03,750.0,22.99,3506,59707.18,68549.67,82331.75,2780.3,3525.0,123880.97
3252,E & J GALLO WINERY,44037,Barefoot Pnt Grigio Cal,3.42,750.0,6.29,17454,59692.68,38266.85,102200.33,1948.86,17447.0,61966.91
3960,DIAGEO NORTH AMERICA INC,5815,Godiva Dark Chocolate,15.71,750.0,23.99,3799,59682.29,63448.54,83507.71,2860.97,3629.0,257032.07
1392,CONSTELLATION BRANDS INC,32675,Blackstone Cab Svgn Cal,4.57,750.0,7.99,13055,59661.35,43321.17,105848.34,1458.36,13066.0,79528.99
7245,PROXIMO SPIRITS INC.,1464,Tin Cup Whiskey,19.22,750.0,25.99,3101,59601.22,56336.52,73331.0,2207.5,2800.0,38994.78
7245,PROXIMO SPIRITS INC.,5767,Jose Cuervo Strawberry Marg,10.36,1750.0,13.99,5753,59601.08,62986.08,86715.82,10878.17,5918.0,38994.78
4425,MARTIGNETTI COMPANIES,18868,Josh Cellars Merlot,9.33,750.0,14.99,6388,59600.04,45941.16,89948.31,692.73,6223.0,144929.24
8004,SAZERAC CO INC,5668,Dr McGillicuddy's Grape,9.69,750.0,13.99,6145,59545.05,54148.09,77415.37,4384.06,5563.0,50293.62
3960,DIAGEO NORTH AMERICA INC,2465,Crown Royal Mini,2.15,50.0,2.99,27695,59544.25,28455.83,80873.52,1404.22,27048.0,257032.07
3960,DIAGEO NORTH AMERICA INC,3580,Smirnoff Orange Vodka,8.08,750.0,10.99,7367,59525.36,62469.11,83586.34,5491.38,6966.0,257032.07
12546,JIM BEAM BRANDS COMPANY,2979,Bowmore 12-Yr Scotch,35.43,750.0,49.99,1680,59522.4,61216.66,72319.23,1244.09,1577.0,123880.97
1392,CONSTELLATION BRANDS INC,25021,Mark West Black Pnt Nr,7.28,750.0,13.99,8166,59448.48,36502.04,90162.59,908.96,8141.0,79528.99
7239,REMY COINTREAU USA INC,4785,Remy Martin XO Excellence,53.95,375.0,74.99,1101,59398.95,6609.13,21237.26,107.64,274.0,16978.67
3960,DIAGEO NORTH AMERICA INC,2602,Caol Ila 12 Yr Islay Single,43.84,750.0,59.99,1352,59271.68,63048.25,76535.94,1030.1,1306.0,257032.07
6359,OLE SMOKY DISTILLERY LLC,5903,Ole Smoky Hunch Punch Moonsh,1.59,50.0,1.99,37220,59179.8,6869.48,69930.59,1843.46,35141.0,1922.0
3252,E & J GALLO WINERY,3420,New Amsterdam Coconut Vodka,7.93,750.0,9.99,7448,59062.64,43136.58,67514.1,5113.68,6490.0,61966.91
17035,PERNOD RICARD USA,5253,Kahlua Original Mudslide RTD,11.84,1750.0,15.99,4970,58844.8,59607.9,81454.48,9103.09,4952.0,123780.22
7245,PROXIMO SPIRITS INC.,3725,Three Olives Pomegranate,9.35,750.0,12.99,6276,58680.6,54045.43,87030.1,5034.43,6390.0,38994.78
7153,PINE STATE TRADING CO,6096,Kinky Blue Liqueur,12.77,750.0,16.99,4588,58588.76,65615.65,84733.73,3805.73,4827.0,15884.82
9552,M S WALKER INC,39256,Schmitt Sohne Relax Mosel,5.16,750.0,9.99,11347,58550.52,56099.49,111823.74,1205.53,10826.0,55551.82
12546,JIM BEAM BRANDS COMPANY,3257,Gilbeys London Dry Trav,4.5,750.0,5.99,12991,58459.5,55715.97,80751.59,10195.74,12941.0,123880.97
17035,PERNOD RICARD USA,3388,Seagrams Extra Dry Gin,6.97,750.0,8.99,8387,58457.39,41805.72,80904.12,6767.41,8588.0,123780.22
480,BACARDI USA INC,7982,M & R Sweet Vermouth,3.95,750.0,7.49,14780,58381.0,66777.15,107834.62,11688.06,14838.0,89286.27
1128,BROWN-FORMAN CORP,3947,Herradura Anejo Tequila,34.84,750.0,45.99,1674,58322.16,64265.46,76814.79,1278.49,1621.0,68601.68
480,BACARDI USA INC,4277,Bacardi Limon Rum,4.68,375.0,5.99,12460,58312.8,13307.65,46397.94,4327.14,11006.0,89286.27
3252,E & J GALLO WINERY,4550,E & J XO Brandy,9.92,750.0,12.99,5873,58260.16,54259.23,70652.61,4287.99,5439.0,61966.91
1392,CONSTELLATION BRANDS INC,8730,Ruffino Orvieto Clsc,5.5,750.0,6.99,10585,58217.5,35610.87,81866.31,8321.54,10569.0,79528.99
9552,M S WALKER INC,42579,Voga del Venezie Pnt Grigio,6.53,750.0,9.99,8910,58182.3,42446.39,90502.98,992.04,8902.0,55551.82
9625,WESTERN SPIRITS BEVERAGE CO,2975,Bird Dog Blackberry Whiskey,11.32,750.0,14.99,5135,58128.2,57792.58,74248.82,3798.33,4818.0,1933.19
10754,PERFECTA WINES,2549,WhistlePig 10Yr Rye,29.49,375.0,44.99,1971,58124.79,68589.07,81941.94,745.72,1906.0,28720.52
4425,MARTIGNETTI COMPANIES,36523,Ch Macard Brdx Superieur,10.34,750.0,14.99,5621,58121.14,47308.44,80436.34,595.72,5366.0,144929.24
4466,AMERICAN VINTAGE BEVERAGE,5255,TGI Fridays Ultimte Mudslide,9.35,1750.0,12.99,6215,58110.25,51180.6,79187.04,11204.28,6096.0,793.91
12546,JIM BEAM BRANDS COMPANY,4343,Cruzan Blueberry Lemonade,6.47,750.0,8.99,8979,58094.13,53945.23,88209.0,6932.03,8800.0,123880.97
6785,PALM BAY INTERNATIONAL INC,19662,Santa Rita 120 Svgn Bl,4.07,750.0,5.99,14267,58066.69,31309.73,84075.64,1568.25,14036.0,13605.41
8673,STE MICHELLE WINE ESTATES,16819,H3 Horse Heaven Hills Cab Sv,8.21,750.0,11.99,7069,58036.49,34243.56,98325.35,890.38,7965.0,15919.7
10754,PERFECTA WINES,31542,Morgan Winery Twelve Clones,16.1,750.0,23.99,3604,58024.4,47344.67,95421.02,389.38,3498.0,28720.52
12546,JIM BEAM BRANDS COMPANY,1993,Maker's Mark 46,17.16,375.0,22.99,3381,58017.96,42311.91,62422.68,1228.07,3132.0,123880.97
3252,E & J GALLO WINERY,7198,New Amsterdam Pineapple Vdka,7.4,750.0,9.99,7835,57979.0,44033.66,70838.75,5377.8,6825.0,61966.91
4425,MARTIGNETTI COMPANIES,37786,Lindemans Bin 45 Cab Svgn,6.45,1500.0,9.99,8988,57972.6,43024.82,91719.28,2037.68,9100.0,144929.24
1485,CASTLE BRANDS CORP.,1835,Knappogue Castle Irish Whsky,19.7,750.0,26.99,2942,57957.4,70471.42,90656.19,2192.81,2781.0,8497.59
8352,LUXCO INC,4932,Arrow Ginger Brandy,4.5,750.0,7.99,12869,57910.5,44041.94,93900.6,10189.7,12940.0,10261.6
9206,PHILLIPS PRODUCTS CO.,3464,UV Blue Raspberry Vodka,10.06,1750.0,13.99,5755,57895.3,61572.2,96343.25,11533.01,6275.0,2211.83
8352,LUXCO INC,2847,The Quiet Man Irish Whiskey,28.56,750.0,39.99,2027,57891.12,42216.12,49793.61,1292.93,1639.0,10261.6
7153,PINE STATE TRADING CO,5676,Kinky Liqueur,1.42,50.0,1.99,40753,57869.26,24500.88,81574.08,2133.24,40992.0,15884.82
1128,BROWN-FORMAN CORP,1867,Jack Daniels Tennessee Honey,2.15,50.0,2.99,26904,57843.6,26865.15,76457.29,1325.95,25571.0,68601.68
9165,ULTRA BEVERAGE COMPANY LLP,2790,High West American Prairie,24.44,750.0,32.99,2366,57825.04,50576.03,64338.68,1602.3,2032.0,68054.7
5270,MANGO BOTTLING INC,7867,Tooters Red-diculous 15 Pk,7.68,375.0,9.99,7528,57815.04,29491.59,64000.63,2764.82,7037.0,1034.42
17035,PERNOD RICARD USA,2917,Paddy's Irish Whiskey,15.62,750.0,19.99,3701,57809.62,52439.4,69846.46,2801.68,3554.0,123780.22
4425,MARTIGNETTI COMPANIES,24934,T-Vine Zinfandel Napa,10.27,750.0,14.99,5625,57768.75,19741.83,82714.82,618.81,5518.0,144929.24
12546,JIM BEAM BRANDS COMPANY,1273,Jim Beam Choice,23.19,1750.0,31.99,2491,57766.29,61050.84,82402.78,5004.4,2722.0,123880.97
6359,OLE SMOKY DISTILLERY LLC,5858,Ole Smoky Apple Pie Moonshin,1.58,50.0,1.99,36494,57660.52,6708.29,70921.61,1869.05,35639.0,1922.0
4425,MARTIGNETTI COMPANIES,2647,Wiggly Bridge Bourbon Sm Brl,41.3,750.0,56.99,1396,57654.8,44882.67,57858.29,844.51,1071.0,144929.24
12546,JIM BEAM BRANDS COMPANY,2290,Jim Beam Devils Cut Bourbon,18.04,750.0,23.99,3195,57637.8,65418.89,75566.82,2380.97,3018.0,123880.97
2561,EDRINGTON AMERICAS,1639,The Famous Grouse,15.74,750.0,22.99,3660,57608.4,61740.54,75309.98,2840.52,3602.0,9654.5
3960,DIAGEO NORTH AMERICA INC,3610,Smirnoff Cranberry Vodka,8.26,750.0,10.99,6972,57588.72,55164.15,81002.94,5441.69,6906.0,257032.07
8004,SAZERAC CO INC,2212,Canadian Rich & Rare,8.72,1750.0,13.99,6597,57525.84,40110.28,74835.84,11973.42,6516.0,50293.62
3924,HEAVEN HILL DISTILLERIES,3244,Burnetts Vodka,4.32,750.0,5.79,13307,57486.24,52603.45,83141.93,10496.78,13327.0,14069.87
9815,WINE GROUP INC,23595,Almaden Burgundy B/B,9.93,5000.0,16.99,5787,57464.91,61170.62,89359.33,4325.25,5767.0,27100.41
4425,MARTIGNETTI COMPANIES,6873,Guigal Cotes du Rhone Red,9.2,750.0,14.99,6245,57454.0,46927.17,91025.9,691.13,6210.0,144929.24
2561,EDRINGTON AMERICAS,4270,Brugal Anejo Rum,12.97,750.0,19.99,4426,57405.22,52437.36,76435.68,3413.84,4332.0,9654.5
9552,M S WALKER INC,28474,Burgans Albarino Baixas Rio,7.14,750.0,12.99,8039,57398.46,40079.44,93003.18,857.01,7682.0,55551.82
3664,WILLIAM GRANT & SONS INC,1760,William Grant Scotch,19.69,1750.0,25.99,2915,57396.35,49673.97,74411.48,5242.21,2852.0,30234.42
4425,MARTIGNETTI COMPANIES,6526,Peter Lehmann Shiraz,5.29,750.0,18.99,10847,57380.63,23532.44,88448.17,1186.18,10583.0,144929.24
2242,DELICATO VINEYARDS INC,46734,Gnarly Head Cab Svgn Cal,6.84,750.0,9.99,8342,57059.28,36868.01,80390.3,901.58,8086.0,7982.65
1128,BROWN-FORMAN CORP,1295,Jack Daniels No 7 Black,2.89,100.0,3.99,19736,57037.04,23876.16,78790.53,2068.2,19747.0,68601.68
9165,ULTRA BEVERAGE COMPANY LLP,10626,MezzaCorona Pnt Nr,7.53,1500.0,10.99,7564,56956.92,38712.65,72530.69,1559.04,6977.0,68054.7
8004,SAZERAC CO INC,4762,Hartley Brandy VS,5.03,750.0,6.99,11314,56909.42,47878.32,81203.25,8960.02,11375.0,50293.62
17035,PERNOD RICARD USA,3890,Absolut Peppar,12.59,750.0,16.99,4520,56906.8,53978.52,77049.45,3432.34,4355.0,123780.22
3960,DIAGEO NORTH AMERICA INC,1085,Baileys Pumpkin Spice,14.81,750.0,19.99,3840,56870.4,27925.03,76740.61,3022.34,3839.0,257032.07
10000,MAJESTIC FINE WINES,6984,Kendall Jackson Vntrs RSV Me,10.96,750.0,16.99,5183,56805.68,54059.4,100693.67,637.32,5733.0,17587.59
4425,MARTIGNETTI COMPANIES,6742,Rodney Strong Chalk Hill Cha,12.49,750.0,18.99,4548,56804.52,31785.84,61527.72,370.2,3328.0,144929.24
4425,MARTIGNETTI COMPANIES,24631,Acumen Moutainside Red Napa,16.77,750.0,24.99,3385,56766.45,44657.13,114829.05,512.88,4595.0,144929.24
9819,TREASURY WINE ESTATES,35916,Stone Cellars Merlot,5.29,1500.0,8.99,10712,56666.48,44695.02,95530.96,2374.53,10604.0,14836.57
1392,CONSTELLATION BRANDS INC,28658,R Mondavi Pnt Nr Pvt Sel,4.53,750.0,7.99,12507,56656.71,35370.18,96997.74,1323.11,11841.0,79528.99
3960,DIAGEO NORTH AMERICA INC,4282,Capt Morgan White Pineapple,9.69,750.0,14.99,5843,56618.67,51620.09,78631.53,4686.23,5947.0,257032.07
2000,SOUTHERN WINE & SPIRITS NE,26250,Roederer Est Brut,13.63,750.0,20.99,4152,56591.76,44196.76,86717.61,444.19,3989.0,19016.59
9552,M S WALKER INC,34439,Toad Hollow Mendocino Chard,8.38,750.0,15.99,6750,56565.0,42729.03,88514.79,737.29,6621.0,55551.82
3252,E & J GALLO WINERY,2534,The Dalmore 12Yr Single Malt,35.99,750.0,44.99,1571,56540.29,82261.44,95329.26,1241.74,1574.0,61966.91
6785,PALM BAY INTERNATIONAL INC,12203,Cavit Prosecco Lunetta,6.84,187.0,9.99,8258,56484.72,32427.54,80879.04,230.7,8096.0,13605.41
4425,MARTIGNETTI COMPANIES,15922,Primo Amore Moscato,7.82,750.0,11.49,7218,56444.76,33225.54,70048.41,775.54,6959.0,144929.24
17035,PERNOD RICARD USA,21055,Sandeman Imperial 20-Yr Taw,24.02,750.0,39.99,2348,56398.96,66268.2,88566.56,247.93,2244.0,123780.22
480,BACARDI USA INC,4050,Bacardi Oakheart Spiced Rum,8.72,750.0,11.99,6464,56366.08,59128.4,76882.01,5044.44,6399.0,89286.27
4425,MARTIGNETTI COMPANIES,2678,Michter's Straight Rye,31.99,750.0,44.99,1761,56334.39,52028.87,64537.93,1188.66,1507.0,144929.24
480,BACARDI USA INC,7978,M & R X Dry Vermouth,3.95,750.0,7.49,14255,56307.25,67609.4,103852.37,11276.15,14313.0,89286.27
8673,STE MICHELLE WINE ESTATES,6174,Columbia Crest Grand Merlot,5.8,750.0,9.99,9708,56306.4,40444.71,98663.76,1170.34,10484.0,15919.7
3252,E & J GALLO WINERY,3161,New Amsterdam Red Berry,6.66,750.0,9.99,8454,56303.64,49177.7,75662.14,5740.93,7286.0,61966.91
9815,WINE GROUP INC,8120,Tribuno Sweet Vermouth,7.08,1500.0,8.99,7946,56257.68,42773.97,71058.14,12559.73,7986.0,27100.41
9819,TREASURY WINE ESTATES,32649,Beringer Classic Wh Merlot,5.13,1500.0,7.99,10965,56250.45,50310.72,101964.84,2488.61,11116.0,14836.57
4692,KOBRAND CORPORATION,11915,Sequoia Grove Cab Svgn,19.6,750.0,32.99,2867,56193.2,34683.09,65067.5,227.79,2050.0,9139.38
4950,LATITUDE BEVERAGE COMPANY,14805,Ninety+Cellars Lot 23 Malbec,5.8,750.0,8.99,9681,56149.8,34954.35,85790.81,1006.5,9019.0,1610.0
12546,JIM BEAM BRANDS COMPANY,6552,Harveys Bristol Cream Sherry,13.99,1500.0,20.99,4011,56113.89,63268.48,92281.86,893.13,4014.0,123880.97
12546,JIM BEAM BRANDS COMPANY,3883,Hornitos Lime Shot Tequila,15.43,750.0,20.99,3634,56072.62,70991.48,83757.0,2839.76,3600.0,123880.97
17035,PERNOD RICARD USA,2041,Redbreast 15 Yr Old Irish,61.14,750.0,84.99,917,56065.38,57353.71,67302.61,583.05,739.0,123780.22
7245,PROXIMO SPIRITS INC.,4130,Kraken Black Spiced Rum,6.81,375.0,10.99,8226,56019.06,65722.88,88537.9,3178.05,8110.0,38994.78
8892,TRINCHERO FAMILY ESTATES,45503,Rebel The Show Cab Svgn,6.8,750.0,11.99,8229,55957.2,31388.58,81098.82,907.23,8118.0,11595.97
1590,DIAGEO CHATEAU ESTATE WINES,6278,Sterling Svgn Bl,7.55,750.0,12.99,7410,55945.5,34756.65,78158.11,778.78,6981.0,7259.75
12546,JIM BEAM BRANDS COMPANY,3984,Sauza Tres Generacions Anejo,32.3,750.0,44.99,1732,55943.6,61394.71,71622.32,1315.91,1668.0,123880.97
660,SAZERAC NORTH AMERICA INC.,4796,Caravella Limoncello,12.31,750.0,21.99,4543,55924.33,49198.59,77476.41,3513.59,4459.0,17932.33
8004,SAZERAC CO INC,5134,Dr McGillicuddy's Cherry,10.39,750.0,13.99,5377,55867.03,47521.52,66881.82,3718.4,4718.0,50293.62
12546,JIM BEAM BRANDS COMPANY,5597,DeKuyper Watermelon Pucker,7.63,750.0,10.99,7318,55836.34,50678.04,74995.57,5707.14,7243.0,123880.97
17035,PERNOD RICARD USA,2198,Chivas Regal Extra,28.67,750.0,38.99,1947,55820.49,40260.52,54836.36,1232.91,1564.0,123780.22
9165,ULTRA BEVERAGE COMPANY LLP,16189,Frescobaldi Tenuta Castglni,17.87,750.0,27.99,3116,55682.92,20133.06,42959.38,285.47,2562.0,68054.7
4425,MARTIGNETTI COMPANIES,25709,Hallowed Ground Proprtry Red,10.8,750.0,15.99,5152,55641.6,19763.64,50800.23,354.96,3177.0,144929.24
7245,PROXIMO SPIRITS INC.,79,Three Olives Loopy Vodka,9.62,750.0,14.99,5779,55593.98,57811.51,78923.14,4481.28,5686.0,38994.78
4425,MARTIGNETTI COMPANIES,34175,Lindemans Bin 50 Shiraz,6.49,1500.0,9.99,8564,55580.36,44510.18,88031.4,1919.61,8580.0,144929.24
11567,CAMPARI AMERICA,3172,Skyy Infusions Blood Orange,10.31,750.0,12.99,5390,55570.9,51046.53,70998.39,4225.14,5361.0,20964.81
17035,PERNOD RICARD USA,5776,Malibu Black,16.29,1750.0,21.99,3408,55516.32,57576.11,75531.02,6246.64,3398.0,123780.22
4425,MARTIGNETTI COMPANIES,18641,Yellow Tail Big Bold Red,6.01,1500.0,9.99,9221,55418.21,41011.45,89675.35,2068.11,9235.0,144929.24
7153,PINE STATE TRADING CO,19645,Line 39 Pnt Nr,5.26,750.0,9.99,10515,55308.9,40412.14,95742.8,1111.18,9956.0,15884.82
7245,PROXIMO SPIRITS INC.,8437,Maestro Dobel Diamond Tequla,26.31,750.0,49.99,2102,55303.62,47062.27,66066.98,1420.32,1802.0,38994.78
6785,PALM BAY INTERNATIONAL INC,6572,Ch Greysac,11.76,750.0,17.99,4700,55272.0,44104.02,82308.24,520.01,4676.0,13605.41
8664,"STOLI GROUP,(USA) LLC",599,Stolichnaya Razberi,17.03,1000.0,22.99,3243,55228.29,39351.46,77846.25,3438.75,3275.0,18544.49
12546,JIM BEAM BRANDS COMPANY,1355,Knob Creek Bourbon,2.59,50.0,3.49,21305,55179.95,34925.81,78828.49,1059.54,20551.0,123880.97
8004,SAZERAC CO INC,2630,Old Pulteney Single Malt Sc,29.91,750.0,37.99,1844,55154.04,56874.24,68916.1,1411.74,1790.0,50293.62
12546,JIM BEAM BRANDS COMPANY,2769,Laphroaig Quarter Cask,38.4,750.0,55.99,1435,55104.0,72484.42,87046.9,1191.13,1510.0,123880.97
3252,E & J GALLO WINERY,32989,Barefoot Cab Svgn Cal,5.78,1500.0,8.79,9514,54990.92,52469.57,92286.32,1958.37,8764.0,61966.91
4425,MARTIGNETTI COMPANIES,46201,Petite Petit Phillips Lodi,11.25,750.0,17.99,4879,54888.75,45695.11,84721.75,536.74,4825.0,144929.24
10000,MAJESTIC FINE WINES,19357,Kendall Jackson Vntnr Rsv Ch,3.92,375.0,5.99,13996,54864.32,25398.58,84546.71,781.31,13829.0,17587.59
12546,JIM BEAM BRANDS COMPANY,8823,Leroux Apricot Brandy,5.42,750.0,6.99,10119,54844.98,45492.04,74626.86,7889.08,10014.0,123880.97
8664,"STOLI GROUP,(USA) LLC",3039,Stoli Salted Karamel,13.38,750.0,16.99,4098,54831.24,48240.39,77290.23,3370.02,4277.0,18544.49
3960,DIAGEO NORTH AMERICA INC,8962,Pimms Cup No 1,13.84,750.0,17.99,3944,54584.96,44704.58,72967.74,3014.49,3826.0,257032.07
12546,JIM BEAM BRANDS COMPANY,5539,DeKuyper Hot Damn 100*,8.39,750.0,12.99,6504,54568.56,50385.58,76002.85,5053.51,6415.0,123880.97
12546,JIM BEAM BRANDS COMPANY,8448,Cruzan Aged Dark Rum,7.51,750.0,10.99,7266,54567.66,56821.37,73330.07,5670.39,7193.0,123880.97
3664,WILLIAM GRANT & SONS INC,377,Hendrick's Gin,28.35,1000.0,37.99,1924,54545.4,40573.32,58086.71,1605.45,1529.0,30234.42
8112,MOET HENNESSY USA INC,1024,Hennessey VS +VSOP 50mL,19.99,750.0,31.99,2726,54492.74,19146.9,113223.97,2837.63,3603.0,48347.26
3960,DIAGEO NORTH AMERICA INC,3104,Smirnoff Whipped Cream,8.72,750.0,12.99,6241,54421.52,55074.42,74882.55,4922.11,6245.0,257032.07
9165,ULTRA BEVERAGE COMPANY LLP,19831,Cesari Boscarel,6.84,750.0,9.99,7952,54391.68,30239.73,78581.34,879.38,7866.0,68054.7
4692,KOBRAND CORPORATION,8628,Jadot Macon Villages Blanc,5.95,750.0,11.99,9134,54347.3,46778.11,120124.34,1123.98,10066.0,9139.38
3089,SIDNEY FRANK IMPORTING CO,2045,Monkey 47 Dry Gin,30.39,375.0,37.99,1788,54337.32,45777.95,61239.88,631.46,1612.0,8549.55
3960,DIAGEO NORTH AMERICA INC,1383,Smirnoff Red White & Berry,8.02,750.0,12.99,6768,54279.36,22804.27,74398.34,5326.79,6766.0,257032.07
4425,MARTIGNETTI COMPANIES,27644,Cline Znfdl Cal,6.84,750.0,11.99,7924,54200.16,41148.81,79910.01,889.94,7999.0,144929.24
480,BACARDI USA INC,4258,Bacardi Mango Fusion,7.35,750.0,11.99,7365,54132.75,52760.27,83206.41,5798.4,7359.0,89286.27
3252,E & J GALLO WINERY,7374,New Amsterdam Mango Vodka,6.86,750.0,8.99,7887,54104.82,42063.54,64214.11,4876.78,6189.0,61966.91
9815,WINE GROUP INC,31454,Foxhorn SE Chard Australia,4.79,1500.0,8.99,11295,54103.05,35317.54,84626.59,2520.03,11241.0,27100.41
4425,MARTIGNETTI COMPANIES,27202,DeLoach Sonoma Cnty Chard,6.8,750.0,9.99,7953,54080.4,14205.78,56533.41,634.54,5659.0,144929.24
3664,WILLIAM GRANT & SONS INC,4149,Sailor Jerry Spiced Navy Rum,1.16,50.0,1.49,46613,54071.08,15506.43,67799.47,2378.71,45503.0,30234.42
8004,SAZERAC CO INC,2196,Canadian Hunter Whiskey,10.6,1750.0,13.99,5099,54049.4,24183.83,49782.48,7629.91,4152.0,50293.62
8352,LUXCO INC,1135,Rebel Reserve Bourbon,15.62,750.0,19.99,3459,54029.58,56916.34,69740.17,2667.95,3383.0,10261.6
17035,PERNOD RICARD USA,5334,Kahlua Especial,17.82,750.0,22.99,3027,53941.14,56159.82,69691.98,2367.07,3002.0,123780.22
7153,PINE STATE TRADING CO,19302,Tomaiolo Chianti Clsco Rsva,7.43,750.0,11.99,7257,53919.51,38544.8,72006.69,670.96,6031.0,15884.82
9165,ULTRA BEVERAGE COMPANY LLP,32479,Danzante Del Vnzi Pnt Grigio,6.75,750.0,9.99,7988,53919.0,34537.69,63914.44,721.69,6488.0,68054.7
11567,CAMPARI AMERICA,8420,Frangelico Hazelnut Liqueur,31.0,1750.0,42.99,1739,53909.0,55180.38,71714.31,3252.34,1769.0,20964.81
9744,FREDERICK WILDMAN & SONS,16129,Pol Roger Brut,25.33,750.0,39.99,2128,53902.24,37495.2,96260.04,278.63,2496.0,3999.93
